"StandartId";"StandardName";"WineColor"
1;"Melot/Mouvedre, Les Oliviers, Vin de Pays d'Oc - France / Red Wines";"Red Wines"
2;"Carignan/Grenache, Les Betes Rousses, IGP Pays d'Herault - France / Red Wines";"Red Wines"
3;"Le Petit Chat Rouge, Vin de Pays d'Oc - France / Red Wines";"Red Wines"
4;"Pinot Noir, Baron de Poce, Pierre Chainier, Loire Valley - France / Red Wines";"Red Wines"
5;"Gamay, Uva Non Grata, Vin de France - France / Red Wines";"Red Wines"
6;"58 Guineas Claret, Bordeaux - France / Red Wines";"Red Wines"
7;"Chateau Le Roc, Bordeaux - France / Red Wines";"Red Wines"
8;"'The Cicada' Domaine Chante Cigale, Chateauneuf-du-Pape - France / Red Wines";"Red Wines"
9;"Cote du Rhone Villages 'Les Coteaux', Boutinot, Rhone - France / Red Wines";"Red Wines"
10;"Cote du Rhone Villages 'Les Coteaux', Boutinot, Rhone - France
Magnum / Red Wines";"Red Wines"
11;"Chateau Baron Bellevue, Cote de Bourg, Bordeaux - France / Red Wines";"Red Wines"
12;"Cote du Rhone Village Seguret, 'Les Coteaux Schisteux', Domaine Boutinot Rhone - France / Red Wines";"Red Wines"
13;"Cote du Rhone Village Seguret, 'Les Coteaux Schisteux', Domaine Boutinot Rhone - France - Magnum / Red Wines";"Red Wines"
14;"Pinot Noir Bourgogne, Domaine Masse Pere et Fils, Cote de Chalonnaise - France / Red Wines";"Red Wines"
15;"Beaujolais Lantignie 'Granit Rose', Frederic Berne, Beaujolais - France / Red Wines";"Red Wines"
16;"Chateau Fabre Gasparets, Famille Fabre, Corbieres-Boutenac - France / Red Wines";"Red Wines"
17;"Les Caleches de Lanessan, Haut Medoc, Bordeaux - France
(2nd wine of Chateau Lanessan) / Red Wines";"Red Wines"
18;"Sancerre Rouge, Domaine du Pre Semele, Maimbray - France / Red Wines";"Red Wines"
19;"Chateau Cissac, Haut Medoc, Bordeaux - France / Red Wines";"Red Wines"
20;"Chateau Lanessan, Haut Medoc, Bordeaux - France / Red Wines";"Red Wines"
21;"Chateauneuf du Pape, Cuvee Papale, Paul Jourdan, Rhone - France / Red Wines";"Red Wines"
22;"Sangiovese, Colori d'Italia, Puglia - Italy / Red Wines";"Red Wines"
23;"Apassitivo Primitivo, Paolo Leo, Puglia - Italy / Red Wines";"Red Wines"
24;"Barbera d'Asti, Luca Bosio, Piedmont - Italy / Red Wines";"Red Wines"
25;"Il Faggio, Montepulciano d'Abruzzo - Italy / Red Wines";"Red Wines"
26;"'I Muri' Primitivo, Vigneti del Salento, Puglia - Italy / Red Wines";"Red Wines"
27;"Appassimento Salento, Aristocratico, Valpolicella - Italy / Red Wines";"Red Wines"
28;"Pinot Noir, Gianni Tessari, Veneto - Italy / Red Wines";"Red Wines"
29;"'Lama di Pierta' Nero di Troia, Cantina Diomede, Puglia - Italy / Red Wines";"Red Wines"
30;"Chianti Classico Reserva, San Felice Il Grigio, Tuscany - Italy / Red Wines";"Red Wines"
31;"Chianti Classico Reserva, San Felice Il Grigio, Tuscany - Italy - Magnum / Red Wines";"Red Wines"
32;"'Zolla' Primitivo di Manduria, Vigneti del Salento - Italy / Red Wines";"Red Wines"
33;"Garnacha Borsao, Campo de Borja - Spain / Red Wines";"Red Wines"
34;"Artesa Rioja (organic), Bodegas Artesa - Spain / Red Wines";"Red Wines"
35;"Rioja Crianza, Bodegas Marques de Reinosa, Rioja - Spain / Red Wines";"Red Wines"
36;"Tempranillo/Garnacha 'The Charge', Rioja - Spain / Red Wines";"Red Wines"
37;"Rioja Crianza, Bodegas El Coto - Spain / Red Wines";"Red Wines"
38;"Rioja Crianza, Bodegas El Coto - Spain - Magnum / Red Wines";"Red Wines"
39;"Rioja Reserva, Bodegas Lan - Spain / Red Wines";"Red Wines"
40;"Rioja Reserva, Bodegas Lan - Spain - Magnum / Red Wines";"Red Wines"
